question,answer,a,b,c,d,img_url
Whose skull was cracked like an egg by The Mountain's giant hands?,B: Oberyn Martell,Lady the direwolf,Oberyn Martell,Beric Dondarrion,Auric Goldfinger,
Who said: 'Has anyone ever told you you're as boring as you are ugly?',B: Jaime Lannister,The Hound,Jaime Lannister,Jon Snow,Peter Snow,
Which castle is this?,B: The Eyrie,The Dreyrie,The Eyrie,The Broorie,Storm's End,https://raw.githubusercontent.com/abhi3700/dummy_data_DONT_DELETE/master/got_img20.jpg
Who is this?,D: Olenna Tyrell,Talisa Stark,Emma Peel,Peggy Mount,Olenna Tyrell,https://raw.githubusercontent.com/abhi3700/dummy_data_DONT_DELETE/master/got_img27.jpg
"Who said: 'Of all the ways to kill you, poison would be the last'?",A: Mance Rayder,Mance Rayder,Littlefinger,Bowfinger,Crast,
"Who said: 'You're shit at dying, you know that?'",A: Sandor Clegane ('The Hound'),Sandor Clegane ('The Hound'),King Robert,Travis Bickle,Harland Sanders,
Who is this?,A: Shireen Baratheon,Shireen Baratheon,Myrcella Baratheon,Ellaria Sand,Eliza Dushku,https://raw.githubusercontent.com/abhi3700/dummy_data_DONT_DELETE/master/got_img26.jpg
Who said: 'Some day I'm gonna put a sword through your eye and out the back of your skull'?,C: Arya Stark,Theon Greyjoy,Shae,Arya Stark,Anton Yelchin,
Who is this?,C: Missandei,Melisandre,Margaery Tyrell,Missandei,Momus,https://raw.githubusercontent.com/abhi3700/dummy_data_DONT_DELETE/master/got_img25.jpg
"Who said: 'If you ever call me sister again, I'll have you strangled in your sleep'?",D: Cersei Lannister,Annie Lennox,Meg White,Catelyn Stark,Cersei Lannister,
Who said: 'Chaos isn't a pit. Chaos is a ladder'?,B: Petyr Baelish ('Littlefinger'),Lord Varys,Petyr Baelish ('Littlefinger'),Cersei Lannister,Faris Rotter,
Which castle is this?,C: Harrenhal,Casterly Rock,Thurnscoe,Harrenhal,Shallowhal,https://raw.githubusercontent.com/abhi3700/dummy_data_DONT_DELETE/master/got_img22.jpg
Which castle is this?,D: Dragonstone,Highgarden,Beergarden,Moat Callin,Dragonstone,https://raw.githubusercontent.com/abhi3700/dummy_data_DONT_DELETE/master/got_img21.jpg
Who is this?,A: Podrick Payne,Podrick Payne,Jorah Mormont,Haley Joel Osment,Doran Martell,https://raw.githubusercontent.com/abhi3700/dummy_data_DONT_DELETE/master/got_img28.jpg
Which castle is this?,D: Castle Black,Winterfell,Riverrun,Skyfall,Castle Black,https://raw.githubusercontent.com/abhi3700/dummy_data_DONT_DELETE/master/got_img23.jpg
